SEM_EXM_EXCH_ID, SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME,INDEX
NSE,D,36554,OPTIDX,0,FINNIFTY-Jun2024-21500-CE,40.0,FINNIFTY 11 JUN 21500 CALL,2024-06-11,21500.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36551,OPTIDX,0,FINNIFTY-Jun2024-21450-PE,40.0,FINNIFTY 11 JUN 21450 PUT,2024-06-11,21450.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36550,OPTIDX,0,FINNIFTY-Jun2024-21450-CE,40.0,FINNIFTY 11 JUN 21450 CALL,2024-06-11,21450.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36547,OPTIDX,0,FINNIFTY-Jun2024-21400-PE,40.0,FINNIFTY 11 JUN 21400 PUT,2024-06-11,21400.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36542,OPTIDX,0,FINNIFTY-Jun2024-21400-CE,40.0,FINNIFTY 11 JUN 21400 CALL,2024-06-11,21400.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36541,OPTIDX,0,FINNIFTY-Jun2024-21350-PE,40.0,FINNIFTY 11 JUN 21350 PUT,2024-06-11,21350.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36540,OPTIDX,0,FINNIFTY-Jun2024-21350-CE,40.0,FINNIFTY 11 JUN 21350 CALL,2024-06-11,21350.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36539,OPTIDX,0,FINNIFTY-Jun2024-21300-PE,40.0,FINNIFTY 11 JUN 21300 PUT,2024-06-11,21300.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36623,OPTIDX,0,FINNIFTY-Jun2024-18750-CE,40.0,FINNIFTY 11 JUN 18750 CALL,2024-06-11,18750.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,35817,OPTIDX,0,FINNIFTY-Jun2024-24150-PE,40.0,FINNIFTY 11 JUN 24150 PUT,2024-06-11,24150.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36626,OPTIDX,0,FINNIFTY-Jun2024-18750-PE,40.0,FINNIFTY 11 JUN 18750 PUT,2024-06-11,18750.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36624,OPTIDX,0,FINNIFTY-Jun2024-22150-CE,40.0,FINNIFTY 11 JUN 22150 CALL,2024-06-11,22150.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,39942,OPTIDX,0,FINNIFTY-Jun2024-28100-CE,40.0,FINNIFTY 11 JUN 28100 CALL,2024-06-11,28100.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,39943,OPTIDX,0,FINNIFTY-Jun2024-28100-PE,40.0,FINNIFTY 11 JUN 28100 PUT,2024-06-11,28100.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,39944,OPTIDX,0,FINNIFTY-Jun2024-28200-CE,40.0,FINNIFTY 11 JUN 28200 CALL,2024-06-11,28200.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,39945,OPTIDX,0,FINNIFTY-Jun2024-28200-PE,40.0,FINNIFTY 11 JUN 28200 PUT,2024-06-11,28200.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,39946,OPTIDX,0,FINNIFTY-Jun2024-28300-CE,40.0,FINNIFTY 11 JUN 28300 CALL,2024-06-11,28300.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,39948,OPTIDX,0,FINNIFTY-Jun2024-28300-PE,40.0,FINNIFTY 11 JUN 28300 PUT,2024-06-11,28300.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,39950,OPTIDX,0,FINNIFTY-Jun2024-28400-CE,40.0,FINNIFTY 11 JUN 28400 CALL,2024-06-11,28400.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36685,OPTIDX,0,FINNIFTY-Jun2024-22400-PE,40.0,FINNIFTY 11 JUN 22400 PUT,2024-06-11,22400.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,39951,OPTIDX,0,FINNIFTY-Jun2024-28400-PE,40.0,FINNIFTY 11 JUN 28400 PUT,2024-06-11,28400.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,39952,OPTIDX,0,FINNIFTY-Jun2024-28500-CE,40.0,FINNIFTY 11 JUN 28500 CALL,2024-06-11,28500.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,39953,OPTIDX,0,FINNIFTY-Jun2024-28500-PE,40.0,FINNIFTY 11 JUN 28500 PUT,2024-06-11,28500.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,39954,OPTIDX,0,FINNIFTY-Jun2024-28600-CE,40.0,FINNIFTY 11 JUN 28600 CALL,2024-06-11,28600.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,39955,OPTIDX,0,FINNIFTY-Jun2024-28600-PE,40.0,FINNIFTY 11 JUN 28600 PUT,2024-06-11,28600.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,39956,OPTIDX,0,FINNIFTY-Jun2024-28700-CE,40.0,FINNIFTY 11 JUN 28700 CALL,2024-06-11,28700.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,39957,OPTIDX,0,FINNIFTY-Jun2024-28700-PE,40.0,FINNIFTY 11 JUN 28700 PUT,2024-06-11,28700.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,39975,OPTIDX,0,FINNIFTY-Jun2024-28800-CE,40.0,FINNIFTY 11 JUN 28800 CALL,2024-06-11,28800.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,39991,OPTIDX,0,FINNIFTY-Jun2024-28800-PE,40.0,FINNIFTY 11 JUN 28800 PUT,2024-06-11,28800.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,39999,OPTIDX,0,FINNIFTY-Jun2024-28900-CE,40.0,FINNIFTY 11 JUN 28900 CALL,2024-06-11,28900.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,40001,OPTIDX,0,FINNIFTY-Jun2024-28900-PE,40.0,FINNIFTY 11 JUN 28900 PUT,2024-06-11,28900.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,40007,OPTIDX,0,FINNIFTY-Jun2024-29000-CE,40.0,FINNIFTY 11 JUN 29000 CALL,2024-06-11,29000.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,40008,OPTIDX,0,FINNIFTY-Jun2024-29000-PE,40.0,FINNIFTY 11 JUN 29000 PUT,2024-06-11,29000.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,39941,OPTIDX,0,FINNIFTY-Jun2024-28000-PE,40.0,FINNIFTY 11 JUN 28000 PUT,2024-06-11,28000.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,39940,OPTIDX,0,FINNIFTY-Jun2024-28000-CE,40.0,FINNIFTY 11 JUN 28000 CALL,2024-06-11,28000.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,39938,OPTIDX,0,FINNIFTY-Jun2024-27900-PE,40.0,FINNIFTY 11 JUN 27900 PUT,2024-06-11,27900.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,39937,OPTIDX,0,FINNIFTY-Jun2024-27900-CE,40.0,FINNIFTY 11 JUN 27900 CALL,2024-06-11,27900.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,39906,OPTIDX,0,FINNIFTY-Jun2024-25250-CE,40.0,FINNIFTY 11 JUN 25250 CALL,2024-06-11,25250.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,39907,OPTIDX,0,FINNIFTY-Jun2024-25250-PE,40.0,FINNIFTY 11 JUN 25250 PUT,2024-06-11,25250.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,39908,OPTIDX,0,FINNIFTY-Jun2024-25350-CE,40.0,FINNIFTY 11 JUN 25350 CALL,2024-06-11,25350.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,39909,OPTIDX,0,FINNIFTY-Jun2024-25350-PE,40.0,FINNIFTY 11 JUN 25350 PUT,2024-06-11,25350.0,PE,5.0,W,OP,,,FINNIFTY
